
test conditions 1, 2, 3
sim_time, real_time, base_link_1_px, base_link_1_py, base_link_1_pz, base_link_1_qw, base_link_1_qx, base_link_1_qy, base_link_1_qz, base_link_1_vx, base_link_1_vy, base_link_1_vz, base_link_1_wx, base_link_1_wy, base_link_1_wz, base_link_1_ax, base_link_1_ay, base_link_1_az, base_link_1_alphax, base_link_1_alphay, base_link_1_alphaz, 
39.321, , 228.873, 351.183, 1.26882, 1, 9.72356e-07, 8.9503e-05, 0.000624702, , , , , , , , , , , , , 
39.821, , 209.664, 349.552, 1.27247, 0.999999, 1.21381e-06, 9.08607e-05, 0.0016198, , , , , , , , , , , , , 
40.321, , 192.46, 345.929, 1.27589, 0.999997, 1.45428e-06, 9.22183e-05, 0.00260161, , , , , , , , , , , , , 
40.821, , 177.268, 340.315, 1.27901, 0.999994, 1.69358e-06, 9.35757e-05, 0.00356972, , , , , , , , , , , , , 
41.321, , 164.089, 332.716, 1.2818, 0.99999, 1.93154e-06, 9.49331e-05, 0.00452373, , , , , , , , , , , , , 
41.821, , 152.929, 323.136, 1.28426, 0.999985, 2.16796e-06, 9.62905e-05, 0.00546325, , , , , , , , , , , , , 
42.321, , 143.79, 311.577, 1.28635, 0.99998, 2.40266e-06, 9.76477e-05, 0.0063879, , , , , , , , , , , , , 
42.821, , 136.676, 298.044, 1.28808, 0.999973, 2.63544e-06, 9.90049e-05, 0.00729732, , , , , , , , , , , , , 
43.321, , 131.592, 282.54, 1.28942, 0.999966, 2.86614e-06, 0.000100362, 0.00819116, , , , , , , , , , , , , 
43.821, , 128.54, 265.069, 1.29037, 0.999959, 3.09455e-06, 0.000101719, 0.00906908, , , , , , , , , , , , , 
44.321, , 127.379, 245.632, 1.29091, 0.999951, 3.3205e-06, 0.000103076, 0.00993075, , , , , , , , , , , , , 
44.821, , 127.237, 224.228, 1.29111, 0.999942, 3.54203e-06, 0.000104433, 0.0107693, , , , , , , , , , , , , 
45.321, , 127.468, 203.143, 1.29111, 0.999942, 3.51952e-06, 0.000105792, 0.0107409, , , , , , , , , , , , , 
45.821, , 127.794, 184.06, 1.291, 0.999951, 3.27711e-06, 0.000107152, 0.00994831, , , , , , , , , , , , , 
46.321, , 128.113, 166.977, 1.29087, 0.999961, 2.95316e-06, 0.000108512, 0.00888231, , , , , , , , , , , , , 
46.821, , 128.385, 151.894, 1.29074, 0.99997, 2.60029e-06, 0.000109872, 0.0077267, , , , , , , , , , , , , 
47.321, , 128.601, 138.811, 1.29063, 0.999979, 2.23859e-06, 0.000111232, 0.00655062, , , , , , , , , , , , , 
47.821, , 128.762, 127.726, 1.29054, 0.999986, 1.87587e-06, 0.000112592, 0.00538022, , , , , , , , , , , , , 
48.321, , 128.874, 118.642, 1.29048, 0.999991, 1.51524e-06, 0.000113951, 0.0042256, , , , , , , , , , , , , 
48.821, , 128.947, 111.557, 1.29043, 0.999995, 1.15807e-06, 0.000115311, 0.00309081, , , , , , , , , , , , , 
49.321, , 128.989, 106.472, 1.2904, 0.999998, 8.05016e-07, 0.00011667, 0.00197759, , , , , , , , , , , , , 
49.821, , 129.01, 103.387, 1.29038, 1, 4.565e-07, 0.000118029, 0.000886838, , , , , , , , , , , , , 
50.321, , 129.018, 102.068, 1.21203, 1, 1.43432e-07, 0.000119305, -8.57744e-05, , , , , , , , , , , , , 
50.821, , 129.021, 101.583, 1.02549, 1, -5.45465e-08, 0.000120629, -0.000696625, , , , , , , , , , , , , 
51.321, , 129.022, 101.405, 0.798811, 0.999999, -1.55771e-07, 0.000121974, -0.00100815, , , , , , , , , , , , , 
51.821, , 129.022, 101.34, 0.557382, 0.999999, -2.00488e-07, 0.000123328, -0.00114711, , , , , , , , , , , , , 
52.321, , 129.022, 101.316, 0.310532, 0.999999, -2.16389e-07, 0.000124685, -0.00119917, , , , , , , , , , , , , 
52.821, , 129.022, 101.307, 0.0616892, 0.999999, -2.18619e-07, 0.000126043, -0.00121054, , , , , , , , , , , , , 
53.321, , 129.022, 101.306, 0.0249952, 0.999999, -3.36393e-08, -2.77761e-05, -0.00121016, , , , , , , , , , , , , 
53.821, , 129.022, 101.306, 0.025, 0.999999, 1.33392e-11, 2.66913e-11, -0.00121013, , , , , , , , , , , , , 
54.321, , 129.022, 101.306, 0.0249932, 0.999999, 5.02292e-08, 3.80409e-05, -0.00121011, , , , , , , , , , , , , 
54.821, , 129.022, 101.306, 0.0249952, 0.999999, -3.3637e-08, -2.77761e-05, -0.00121008, , , , , , , , , , , , , 
55.321, , 129.022, 101.306, 0.025, 0.999999, 1.33393e-11, 2.66913e-11, -0.00121005, , , , , , , , , , , , , 
55.821, , 129.022, 101.306, 0.0249932, 0.999999, 5.02261e-08, 3.80409e-05, -0.00121002, , , , , , , , , , , , , 
56.321, , 129.022, 101.306, 0.0249952, 0.999999, -3.36347e-08, -2.77761e-05, -0.00121, , , , , , , , , , , , , 
56.821, , 129.022, 101.306, 0.025, 0.999999, 1.33393e-11, 2.66913e-11, -0.00120997, , , , , , , , , , , , , 
57.321, , 129.022, 101.306, 0.0249932, 0.999999, 5.0223e-08, 3.80409e-05, -0.00120994, , , , , , , , , , , , , 
57.821, , 129.022, 101.306, 0.0249952, 0.999999, -3.36324e-08, -2.77761e-05, -0.00120991, , , , , , , , , , , , , 
58.321, , 129.022, 101.306, 0.025, 0.999999, 1.33393e-11, 2.66913e-11, -0.00120989, , , , , , , , , , , , , 
58.821, , 129.022, 101.306, 0.0249932, 0.999999, 5.02199e-08, 3.80409e-05, -0.00120986, , , , , , , , , , , , , 
59.321, , 129.022, 101.306, 0.0342253, 0.999999, 4.90433e-10, 4.05221e-07, -0.00120984, , , , , , , , , , , , , 
59.821, , 129.022, 101.306, 0.165425, 0.999999, 2.21411e-09, 1.82994e-06, -0.00120984, , , , , , , , , , , , , 
60.321, , 129.022, 101.306, 0.371764, 0.999999, 3.88727e-09, 3.2129e-06, -0.00120984, , , , , , , , , , , , , 
60.821, , 129.022, 101.306, 0.605718, 0.999999, 5.54187e-09, 4.58051e-06, -0.00120984, , , , , , , , , , , , , 
61.321, , 129.022, 101.306, 0.849821, 0.999999, 7.18965e-09, 5.94249e-06, -0.00120984, , , , , , , , , , , , , 
61.821, , 129.022, 101.306, 1.08128, 0.999999, 8.78138e-09, 7.25815e-06, -0.00120984, , , , , , , , , , , , , 
62.321, , 129.022, 101.306, 1.18793, 0.999999, 1.03535e-08, 8.55759e-06, -0.00120984, , , , , , , , , , , , , 
62.821, , 129.022, 101.306, 1.22712, 0.999999, 1.1971e-08, 9.89451e-06, -0.00120984, , , , , , , , , , , , , 
