Format Version,1.23,Take Name,Take 2022-04-21 07.56.13 AM_007,Take Notes,,Capture Frame Rate,30.000000,Export Frame Rate,30.000000,Capture Start Time,2022-04-21 12.33.40.997 DU.,Total Frames in Take,4853,Total Exported Frames,4853,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker
,Name,Unlabeled 1258,Unlabeled 1258,Unlabeled 1258
,ID,"C47B0","C47B0","C47B0"
,,Position,Position,Position
Frame,Time (Seconds),X,Y,Z
418,13.933333,1253.275391,808.853943,833.312927
419,13.966667,1253.915894,808.974976,846.299500
420,14.000000,1254.399414,809.169434,859.292603
421,14.033333,1254.749634,809.098022,872.366943
422,14.066667,1255.421509,809.275757,885.459412
423,14.100000,1256.244141,809.468445,898.545959
424,14.133333,1256.585571,809.355286,911.797913
425,14.166667,1257.319458,809.542847,925.009827
426,14.200000,1258.189209,809.628662,938.197693
427,14.233333,1258.648438,809.561829,951.677185
428,14.266667,1259.437134,809.682739,965.005859
429,14.300000,1260.420532,809.649902,978.282227
430,14.333333,1261.142090,809.641968,991.861572
431,14.366667,1261.697510,809.588318,1005.196350
432,14.400000,1262.617310,809.383789,1018.581970
433,14.433333,1263.460815,809.308655,1032.060181
434,14.466667,1264.145752,809.039551,1045.388916
435,14.500000,1264.942383,808.840271,1058.917725
436,14.533333,1265.837524,808.571045,1072.238037
437,14.566667,1266.639282,808.287476,1085.668579
438,14.600000,1267.392456,808.137939,1099.130371
439,14.633333,1268.294922,807.835266,1112.572510
440,14.666667,1269.318848,807.648315,1126.029907
441,14.700000,1270.184937,807.264282,1139.489990
442,14.733333,1270.831909,807.124390,1153.066162
443,14.766667,1271.808716,806.747131,1166.482422
444,14.800000,1272.860962,806.566772,1180.092896
445,14.833333,1273.754028,806.294250,1193.502319
446,14.866667,1274.627930,805.955811,1207.038086
447,14.900000,1275.563721,805.648743,1220.468262
448,14.933333,1276.605347,805.342285,1233.899780
449,14.966667,1277.571289,804.991211,1247.336548
450,15.000000,1278.458984,804.590393,1260.727539
451,15.033333,1279.396606,804.192871,1274.314941
452,15.066667,1280.569824,803.847229,1287.746216
453,15.100000,1281.553589,803.473694,1301.175049
454,15.133333,1282.511963,802.954041,1314.617920
455,15.166667,1283.377686,802.596069,1328.164673
456,15.200000,1284.537598,802.015991,1341.639404
457,15.233333,1285.618896,801.643372,1355.152466
458,15.266667,1286.506592,800.988037,1368.627563
459,15.300000,1287.466797,800.634949,1382.205322
460,15.333333,1288.449707,800.098145,1395.714966
461,15.366667,1289.703491,799.686401,1409.225098
462,15.400000,1290.677246,799.248901,1422.814941
463,15.433333,1291.778687,798.759705,1436.326660
464,15.466667,1292.858398,798.288513,1449.761353
465,15.500000,1294.124023,797.835388,1463.042603
466,15.533333,1295.698730,797.417847,1476.167603
467,15.566667,1297.388062,796.848450,1489.062866
468,15.600000,1299.126465,796.293213,1501.691650
469,15.633333,1301.157593,795.630798,1513.937988
470,15.666667,1303.355347,795.233643,1526.062378
471,15.700000,1305.876831,794.738098,1537.720459
472,15.733333,1308.747070,794.235352,1549.055298
473,15.766667,1311.843506,793.852722,1559.846436
474,15.800000,1315.406494,793.499268,1570.235596
475,15.833333,1319.381836,793.078125,1580.068481
476,15.866667,1323.420288,793.020203,1589.812256
